problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"{'p3_at_0', 'elevator_at_6', 'p1_at_1', 'p4_at_8', 'p2_at_1', 'elevator_hold_0', 'p5_at_2'}","{'p4_at_0', 'p1_at_3', 'p2_at_0', 'p3_at_9', 'p5_at_7'}",29,74.94379568,10216,9907,45.092314,1686,1391,33.31170201,1528,1366,2539,30.15599442,1528,1366,2433
"{'p3_at_4', 'elevator_at_9', 'p2_at_4', 'p5_at_9', 'elevator_hold_0', 'p1_at_0', 'p4_at_4'}","{'p3_at_1', 'p2_at_0', 'p4_at_6', 'p1_at_5', 'p5_at_7'}",25,13.4959271,3989,4295,26.35098052,1277,1285,18.38484597,1106,1184,1799,18.47387648,1111,1189,1697
"{'elevator_at_4', 'p4_at_2', 'p5_at_6', 'p1_at_3', 'p3_at_7', 'elevator_hold_0', 'p2_at_8'}","{'p3_at_3', 'p2_at_4', 'p5_at_0', 'p1_at_7', 'p4_at_7'}",26,34.57060409,5932,7267,41.6267364,1795,1883,34.93861413,1724,1829,3076,34.09018373,1726,1829,2889
"{'p3_at_1', 'p2_at_2', 'p5_at_6', 'elevator_hold_0', 'p4_at_9', 'elevator_at_8', 'p1_at_6'}","{'p1_at_3', 'p4_at_6', 'p3_at_7', 'p2_at_1', 'p5_at_2'}",25,16.65048766,4367,4917,39.97940636,1720,1875,22.95072079,1416,1650,2204,21.64641523,1429,1652,2023
"{'p4_at_3', 'p2_at_2', 'elevator_at_2', 'p3_at_9', 'elevator_hold_0', 'p1_at_6', 'p5_at_4'}","{'p4_at_3', 'p5_at_8', 'p1_at_3', 'p2_at_0', 'p3_at_8'}",24,17.86471105,5015,4915,17.69070959,827,797,14.10978818,759,769,1335,12.31507373,822,830,1116
,,,,,,,,,,,,,,,,
"{'p2_at_9', 'elevator_at_5', 'p1_at_9', 'p5_at_9', 'p3_at_7', 'elevator_hold_0', 'p4_at_9'}","{'p4_at_2', 'p5_at_6', 'p1_at_2', 'p3_at_7', 'p2_at_3'}",25,20.46571159,5888,4831,54.87452841,2794,2833,43.26126981,2620,2668,4417,43.74548316,2619,2666,4312
"{'elevator_at_4', 'p3_at_2', 'p2_at_5', 'p1_at_4', 'p5_at_1', 'elevator_hold_0', 'p4_at_4'}","{'p2_at_9', 'p1_at_8', 'p3_at_4', 'p4_at_2', 'p5_at_7'}",21,12.47916055,3616,4331,8.150368929,371,497,7.443608761,363,490,785,6.454459906,664,742,647
"{'elevator_at_5', 'p2_at_4', 'p1_at_3', 'p5_at_9', 'p3_at_9', 'elevator_hold_0', 'p4_at_9'}","{'p2_at_9', 'p5_at_5', 'p3_at_8', 'p4_at_7', 'p1_at_6'}",22,0.307143211,487,659,10.12397075,626,641,4.785199881,427,473,614,3.861796379,428,473,530
"{'p4_at_1', 'p1_at_4', 'p3_at_3', 'p5_at_0', 'p2_at_3', 'elevator_hold_0', 'elevator_at_8'}","{'p4_at_3', 'p3_at_4', 'p1_at_9', 'p5_at_6', 'p2_at_8'}",27,30.09563708,7092,6275,13.81458116,662,835,13.16697788,643,823,1396,13.05397844,643,823,1344
