problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[[0, 0, 'p2'], ['t1', 't2', 'p1'], [0, 'p3', 0]]","[[1, 0], [2, 1], [0, 1]]",17,28.01174164,3963,5094,35.9618535,1922,2561,23.74206138,1738,2413,3076,18.46167088,2595,3291,1239
"[[0, 'p3', 0], [0, 'p1', 't1'], ['t2', 'p2', 0]]","[[0, 0], [1, 0], [2, 0]]",16,13.44900727,2434,3559,19.63211823,1151,1816,12.23329353,1037,1658,1888,10.20970201,1652,2398,711
"[[0, 'p3', 'p2'], [0, 0, 't2'], [0, 't1', 'p1']]","[[2, 2], [1, 0], [0, 0]]",11,0.868675709,508,679,1.999653339,192,313,2.219069242,189,302,377,1.850052118,222,345,313
"[['p2', 0, 't1'], [0, 0, 0], ['p1', 'p3', 't2']]","[[0, 1], [1, 2], [0, 1]]",19,52.41845703,6062,7002,65.50443602,3563,4258,53.12157702,3107,3858,5003,44.37075543,3832,4543,2607
"[['p2', 'p1', 0], ['p3', 0, 0], [0, 't2', 't1']]","[[2, 0], [1, 0], [1, 0]]",12,0.615352869,529,647,2.103679895,183,273,1.755438566,183,273,383,1.639585018,200,291,303
"[['t1', 'p1', 't2'], ['p3', 0, 0], [0, 'p2', 0]]","[[2, 0], [0, 0], [1, 1]]",16,18.76479721,3304,4247,30.02143216,1598,2356,19.42925572,1479,2176,2627,13.99273753,2147,2707,1091
"[['p3', 0, 't1'], [0, 0, 'p1'], ['t2', 'p2', 0]]","[[2, 2], [1, 1], [1, 1]]",14,8.906205654,2158,2613,8.701540709,484,910,7.49705267,482,898,1233,7.121113062,639,1025,1065
"[[0, 0, 't1'], ['p1', 'p3', 't2'], [0, 0, 'p2']]","[[0, 0], [1, 1], [2, 2]]",13,2.744662523,1136,1486,3.832752943,237,455,3.333125114,235,447,586,2.757622004,482,692,341
"[['t2', 'p3', 0], ['t1', 0, 0], [0, 'p2', 'p1']]","[[0, 1], [0, 0], [2, 2]]",18,13.37107921,2651,3528,35.27247548,2052,2519,15.67209768,1458,2007,2209,10.55017519,1940,2684,687
"[[0, 'p2', 't2'], ['p1', 'p3', 't1'], [0, 0, 0]]","[[1, 0], [1, 1], [1, 2]]",7,0.052858591,77,168,0.207413912,11,48,0.13064909,11,48,35,0.123669386,12,47,29
"[['p1', 't2', 'p3'], ['p2', 0, 0], ['t1', 0, 0]]","[[0, 0], [1, 2], [0, 2]]",5,0.010970592,18,52,0.135677338,10,36,0.061836004,10,36,17,0.069809437,10,36,16
"[['p2', 0, 'p1'], [0, 'p3', 0], [0, 't1', 't2']]","[[2, 2], [1, 0], [0, 0]]",14,2.553200722,1181,1456,4.549897909,284,500,3.877631664,282,498,662,2.798028708,608,790,393
"[['t1', 'p1', 'p3'], [0, 0, 0], ['p2', 't2', 0]]","[[1, 2], [0, 0], [0, 2]]",10,0.38596797,348,486,0.908570528,64,151,0.778917074,64,151,171,0.902556181,92,180,153
"[[0, 'p2', 0], ['t1', 0, 't2'], [0, 'p3', 'p1']]","[[0, 0], [2, 1], [2, 2]]",15,2.661917686,1033,1608,7.106575727,438,695,4.256620884,387,631,694,2.312783957,592,878,243
"[['p3', 't2', 0], [0, 'p1', 0], ['p2', 't1', 0]]","[[0, 1], [0, 2], [0, 1]]",15,8.920465946,2110,2991,14.02896285,753,1383,9.711951256,714,1297,1524,7.267205477,1186,1685,717
"[['p1', 0, 'p3'], [0, 0, 't1'], ['t2', 'p2', 0]]","[[2, 1], [1, 1], [2, 1]]",16,15.33898807,2954,3677,27.31297636,1774,2393,17.7597456,1600,2131,2598,12.80177236,1854,2246,1387
"[[0, 't2', 0], ['t1', 0, 'p3'], ['p1', 0, 'p2']]","[[1, 0], [0, 0], [0, 1]]",19,64.2946732,6899,6822,65.01456022,3458,4142,46.212075,3084,3724,5178,43.45666385,3908,4254,3033
"[[0, 0, 'p2'], [0, 0, 'p1'], ['t1', 'p3', 't2']]","[[0, 0], [2, 0], [1, 2]]",18,29.2706902,4155,5487,47.44872642,2694,3363,28.61328793,2082,2853,3210,21.48757124,2953,3853,1020
"[['t1', 'p1', 't2'], ['p3', 0, 0], ['p2', 0, 0]]","[[2, 0], [0, 1], [1, 2]]",16,9.198986053,2087,3169,22.10689425,1376,1832,11.51228905,1057,1547,1650,6.356007814,1495,2078,382
"[['t2', 0, 0], ['p1', 't1', 0], ['p2', 'p3', 0]]","[[0, 1], [2, 2], [2, 0]]",13,1.353345871,749,1114,2.321792603,130,315,2.298854351,129,310,392,1.615714312,306,481,268
"[[0, 't1', 0], ['p3', 't2', 0], ['p2', 'p1', 0]]","[[1, 1], [2, 2], [1, 0]]",10,0.292199373,299,403,0.891602993,58,144,0.739022493,58,144,172,0.698165894,87,153,146
"[['p2', 'p3', 'p1'], ['t2', 0, 0], [0, 0, 't1']]","[[1, 2], [1, 2], [0, 2]]",14,4.179647207,1470,1905,7.6593225,512,857,6.053734541,497,811,1047,3.942461491,662,951,694
"[['t2', 0, 0], ['p3', 'p2', 'p1'], [0, 't1', 0]]","[[0, 1], [2, 0], [1, 0]]",11,0.375994921,339,527,1.326511621,77,174,1.147050858,77,174,192,0.800890446,107,208,156
"[[0, 'p3', 't1'], ['p1', 0, 't2'], [0, 0, 'p2']]","[[2, 0], [0, 0], [2, 0]]",17,30.89555073,4489,4534,44.21765614,2590,3240,28.05556846,2223,2740,3714,23.26277399,2704,3113,2049
