problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
"[['F', 'E', 'A'], ['C', 'G', 'D', 'B']]","[['A', 'C', 'G', 'B', 'F', 'E', 'D']]",11,23.07131576538086,2626,4920,29.62837028503418,990,3128,17.55901551246643,963,3049,2152,16.60348916053772,977,3049,1826
"[['C', 'D'], ['B', 'E', 'F', 'G', 'A']]","[['G', 'B', 'E', 'D', 'A', 'C', 'F']]",10,2.1652445793151855,626,1784,3.8307554721832275,138,617,2.0993881225585938,136,605,435,1.7652459144592285,239,818,306
"[['C', 'F', 'E'], ['D', 'B', 'A', 'G']]","[['E', 'F', 'D', 'G', 'B', 'C', 'A']]",10,2.0146472454071045,506,1789,4.973794937133789,186,869,1.923889398574829,182,860,385,1.6296443939208984,203,884,293
"[['G', 'D', 'F'], ['E', 'C', 'B', 'A']]","[['G', 'C', 'E', 'B', 'F', 'A', 'D']]",10,3.3550326824188232,837,2207,6.3041417598724365,259,990,3.2433276176452637,250,966,576,2.521225929260254,328,1082,420
"[['E', 'B', 'C'], ['D', 'G', 'F', 'A']]","[['B', 'D', 'G', 'E', 'F', 'A', 'C']]",11,12.47268533706665,1709,3825,15.748809337615967,558,2069,8.721372365951538,543,2015,1291,9.048776149749756,580,2070,1107
"[['F'], ['D', 'G', 'E', 'B', 'C', 'A']]","[['D', 'F', 'E', 'A', 'C', 'B', 'G']]",11,9.39989948272705,1308,3589,9.826729774475098,363,1479,5.23995304107666,354,1447,937,5.6445324420928955,366,1478,880
"[['E', 'F', 'D', 'C', 'G'], ['A', 'B']]","[['E', 'B', 'C', 'D', 'F', 'G', 'A']]",10,2.8712892532348633,742,2174,3.548637866973877,145,564,1.8245973587036133,142,554,386,1.8381168842315674,215,792,334
"[['D', 'F', 'B', 'E'], ['A', 'C', 'G']]","[['G', 'C', 'E', 'A', 'B', 'F', 'D']]",7,0.0029916763305664062,8,19,0.09153366088867188,7,18,0.02792668342590332,7,18,8,0.013961553573608398,8,19,0
"[['C', 'D', 'B'], ['F', 'G', 'E', 'A']]","[['F', 'G', 'E', 'B', 'A', 'D', 'C']]",5,0.0020284652709960938,8,23,0.07080912590026855,7,18,0.02194380760192871,7,18,8,0.01593303680419922,8,23,0
"[['E', 'D', 'A', 'G'], ['C', 'B', 'F']]","[['E', 'C', 'A', 'G', 'B', 'D', 'F']]",11,23.165063619613647,2193,5178,24.590863943099976,842,2995,14.395090103149414,826,2940,1784,13.756224632263184,841,2938,1609
