problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,LA_used2,PLA_time,PLA_explored,PLA_frontier,PLA_used2
2.3.8.5.7.6.1.4.0.,-,20,1.5009548664093018,1124,649,2.429502248764038,350,259,2.7616162300109863,350,259,593,1.6546082496643066,1124,649,0
4.1.0.8.2.7.3.6.5.,-,24,7.394268035888672,4038,2232,9.033844470977783,1227,785,10.392214298248291,1226,785,1979,7.638577938079834,1875,1147,1021
4.5.6.3.0.2.1.7.8.,-,16,0.355053186416626,309,200,0.5415165424346924,81,65,0.6263265609741211,81,65,138,0.40395259857177734,309,200,0
1.5.6.4.8.3.2.7.0.,-,20,1.981701135635376,1410,853,2.935119867324829,442,288,3.384981393814087,442,288,722,2.137286424636841,1410,853,0
4.7.5.1.2.8.6.3.0.,-,22,2.444498062133789,1690,994,3.4308724403381348,446,300,3.793891429901123,446,300,739,2.686814308166504,1590,958,83
7.3.8.4.0.2.6.1.5.,-,22,3.1206212043762207,2135,1266,3.942509174346924,510,355,4.290513277053833,510,355,853,3.434814453125,2007,1210,97
5.3.0.2.6.4.8.1.7.,-,24,10.966645956039429,5384,2906,12.366934776306152,1711,1106,13.97167706489563,1710,1105,2751,10.612627267837524,2560,1569,1447
1.2.3.5.7.8.0.6.4.,-,12,0.07878923416137695,67,46,0.13464140892028809,21,21,0.1385958194732666,21,21,36,0.08976006507873535,67,46,0
3.2.8.5.4.7.0.6.1.,-,26,25.26798367500305,8723,4458,18.74135684967041,2268,1511,20.486693382263184,2267,1510,3735,15.863589763641357,2413,1581,2481
3.6.5.2.7.1.4.8.0.,-,16,0.18649935722351074,162,108,0.3250997066497803,47,39,0.35704517364501953,47,39,79,0.21741843223571777,162,108,0
7.1.6.4.3.5.0.2.8.,-,22,5.914186239242554,3012,1729,6.443769693374634,953,622,7.4151763916015625,953,622,1559,6.613661527633667,2191,1302,537
2.8.1.7.3.5.4.6.0.,-,20,1.634634256362915,1204,739,2.38262677192688,343,236,2.7227187156677246,343,236,571,1.8071680068969727,1204,739,0
4.2.8.7.0.1.6.5.3.,-,18,0.5026557445526123,409,261,0.8038520812988281,109,82,0.8806469440460205,109,82,184,0.5385575294494629,409,261,0
2.3.7.5.6.1.4.8.0.,-,24,13.64850664138794,5490,2940,14.298771619796753,1772,1111,15.650156497955322,1771,1111,2809,10.998167991638184,2054,1271,1549
0.4.1.7.2.3.5.8.6.,-,12,0.07579684257507324,57,43,0.09474682807922363,15,13,0.0967411994934082,15,13,23,0.08680295944213867,57,43,0
1.6.3.4.7.8.2.5.0.,-,16,0.41585206985473633,311,208,0.6323425769805908,91,66,0.7360343933105469,91,66,151,0.44976139068603516,311,208,0
7.4.0.2.6.5.3.1.8.,-,22,1.9148805141448975,1325,742,2.6818623542785645,305,215,3.015904426574707,305,215,507,2.130336284637451,1289,720,29
5.7.2.4.6.3.0.8.1.,-,22,3.964364528656006,2359,1365,6.11069655418396,774,508,6.765875577926636,774,508,1236,4.517956972122192,2037,1208,223
3.6.0.7.4.8.2.1.5.,-,18,0.3031899929046631,252,159,0.3590395450592041,44,34,0.4208383560180664,44,34,74,0.37100791931152344,252,159,0
4.5.2.6.1.3.8.7.0.,-,20,1.9039428234100342,1239,770,2.9371492862701416,386,263,3.2831881046295166,386,263,635,2.098388195037842,1239,770,0
8.5.3.1.2.6.4.7.0.,-,20,2.2599546909332275,1484,874,3.762972354888916,544,353,4.304006814956665,544,353,869,2.4803340435028076,1484,874,0
0.5.8.4.3.7.2.6.1.,-,26,23.292755365371704,8080,4214,18.534443616867065,2011,1333,20.46727752685547,2010,1332,3310,16.64945149421692,2153,1407,2270
4.1.2.3.0.7.6.5.8.,-,18,0.6911849975585938,478,288,1.1210033893585205,131,91,1.2396881580352783,131,91,215,0.771899938583374,478,288,0
5.4.1.6.0.8.3.7.2.,-,20,0.6981735229492188,510,300,1.1628940105438232,127,88,1.1798417568206787,127,88,206,0.7529881000518799,510,300,0
0.4.5.2.7.1.8.3.6.,-,18,0.6133608818054199,433,273,0.8387579917907715,103,82,0.9086039066314697,103,82,178,0.6632282733917236,433,273,0
1.5.0.2.7.3.4.6.8.,-,20,2.776590585708618,1686,1038,4.3683061599731445,592,386,4.923801898956299,592,386,950,3.0468554496765137,1686,1038,0
