problem I,problem G,sol len,custom_time,custom_explored,custom_frontier,lmc_time,lmc_explored,lmc_frontier,LA_time,LA_explored,LA_frontier,PLA_time,PLA_explored,PLA_frontier,,
2.3.8.5.7.6.1.4.0.,-,20,1.497981071,1124,649,2.417536259,345,243,2.744661093,345,243,1.595698357,1124,649,,
4.1.0.8.2.7.3.6.5.,-,24,7.273554802,4038,2232,9.404462337,1225,779,10.35428405,1224,778,7.459088802,1874,1145,,
4.5.6.3.0.2.1.7.8.,-,16,0.355051279,309,200,0.573465824,83,62,0.629323006,83,62,0.397932529,309,200,,
1.5.6.4.8.3.2.7.0.,-,20,1.930840254,1410,853,2.974045992,447,282,3.35702467,447,282,2.058463335,1410,853,,
4.7.5.1.2.8.6.3.0.,-,22,2.385622025,1690,994,3.392960787,416,283,3.759947062,416,283,2.726709604,1590,958,,
7.3.8.4.0.2.6.1.5.,-,22,3.289210796,2135,1266,4.17579627,510,358,4.436642408,510,358,3.57843399,2007,1210,,
5.3.0.2.6.4.8.1.7.,-,24,11.47432351,5384,2906,12.9135046,1659,1058,14.45133018,1659,1058,10.28250813,2329,1373,,
1.2.3.5.7.8.0.6.4.,-,12,0.077791929,67,46,0.137632132,22,20,0.160570621,22,20,0.092752457,67,46,,
3.2.8.5.4.7.0.6.1.,-,26,23.34110475,8723,4458,19.23357558,2221,1459,21.4336915,2221,1459,17.40796757,2333,1522,,
3.6.5.2.7.1.4.8.0.,-,16,0.187498808,162,108,0.290224075,41,30,0.318182468,41,30,0.209439993,162,108,,
7.1.6.4.3.5.0.2.8.,-,22,5.846315622,3012,1729,6.929441214,966,630,9.571407795,966,630,6.082736969,2190,1303,,
2.8.1.7.3.5.4.6.0.,-,20,1.738354683,1204,739,2.8557477,346,241,2.837527514,346,241,1.842041969,1204,739,,
4.2.8.7.0.1.6.5.3.,-,18,0.509668827,409,261,0.809837341,105,80,0.888590097,105,80,0.577456236,409,261,,
2.3.7.5.6.1.4.8.0.,-,24,12.64975286,5490,2940,14.1502533,1737,1096,14.7376318,1736,1095,11.42541838,2096,1299,,
0.4.1.7.2.3.5.8.6.,-,12,0.072804689,57,43,0.097738028,15,13,0.098736048,15,13,0.087767839,57,43,,
1.6.3.4.7.8.2.5.0.,-,16,0.415885687,311,208,0.753021002,95,67,0.860664606,95,67,0.468748331,311,208,,
7.4.0.2.6.5.3.1.8.,-,22,1.955770969,1325,742,2.969061852,328,233,3.493167639,328,233,2.563147068,1234,711,,
5.7.2.4.6.3.0.8.1.,-,22,4.287547827,2359,1365,6.177481651,760,494,6.805803537,760,494,4.594715118,2038,1209,,
3.6.0.7.4.8.2.1.5.,-,18,0.340093374,252,159,0.329162598,36,30,0.346065521,36,30,0.382940054,252,159,,
4.5.2.6.1.3.8.7.0.,-,20,1.89692831,1239,770,2.99100399,376,237,3.343097448,376,237,2.047521114,1239,770,,
8.5.3.1.2.6.4.7.0.,-,20,2.367671013,1484,874,3.916527748,545,351,5.533171892,545,351,3.080764532,1484,874,,
0.5.8.4.3.7.2.6.1.,-,26,24.38132,8080,4214,18.90545392,1974,1311,21.36587358,1973,1310,15.64816213,2217,1403,,
4.1.2.3.0.7.6.5.8.,-,18,0.642317057,478,288,1.168840408,137,96,1.43017602,137,96,0.720077038,478,288,,
5.4.1.6.0.8.3.7.2.,-,20,1.07210207,510,300,1.347397327,138,87,1.344403982,138,87,0.754981995,510,300,,
0.4.5.2.7.1.8.3.6.,-,18,0.564489365,433,273,0.810832262,104,78,0.964421272,104,78,0.635309458,433,273,,
1.5.0.2.7.3.4.6.8.,-,20,2.767566681,1686,1038,5.669872761,582,377,4.898869514,582,377,2.994035244,1686,1038,,
3.5.0.6.8.4.1.2.7.,-,26,33.31895137,8903,4468,23.63378882,2407,1571,28.82710457,2406,1570,19.5447731,2585,1656,,
4.2.6.3.0.8.1.7.5.,-,16,0.414890289,332,225,1.069109678,99,72,1.120037556,99,72,0.472705364,332,225,,
1.3.8.4.5.7.0.2.6.,-,16,0.204468966,179,113,0.389942408,49,43,0.459775686,49,43,0.233370781,179,113,,
0.1.7.8.6.2.4.5.3.,-,18,0.347038984,298,185,0.512629747,71,52,0.594442368,71,52,0.391951799,298,185,,
0.2.3.1.4.6.5.8.7.,-,16,0.491652489,419,271,0.969409704,161,119,1.094105959,161,119,0.541557074,419,271,,
3.6.7.4.0.8.5.2.1.,-,24,7.774219036,4142,2261,8.91716218,1036,702,11.18762612,1036,702,7.86700201,1945,1205,,
4.1.3.8.0.5.2.7.6.,-,10,0.043882132,36,27,0.068817139,11,12,0.07081008,11,12,0.055850983,36,27,,
1.3.0.5.8.2.6.4.7.,-,20,1.591710806,1189,716,3.428866148,391,251,4.075068951,391,251,1.716412544,1189,716,,
6.3.8.4.0.1.2.5.7.,-,22,2.551214457,1786,1038,4.45505476,395,273,4.415812969,395,273,3.968388081,1658,972,,
4.1.5.6.0.3.7.8.2.,-,18,1.131975174,795,508,2.334756374,287,201,3.606359482,287,201,1.906901598,795,508,,
5.4.0.2.1.6.8.7.3.,-,26,63.26596165,13818,6439,48.50551581,4815,2926,50.09773111,4813,2925,38.536026,4835,2923,,
2.7.8.1.5.3.6.4.0.,-,22,2.551179171,1592,931,3.951435566,442,299,5.26791501,442,299,2.905231953,1477,870,,
8.1.3.2.5.6.4.7.0.,-,12,0.090757132,64,43,0.131649971,20,22,0.164558172,20,22,0.098736048,64,43,,
1.3.8.4.0.7.6.2.5.,-,18,0.653253078,437,276,1.029247761,122,90,1.138955832,122,90,0.663224697,437,276,,
5.4.2.1.6.8.0.7.3.,-,14,0.132641554,103,63,0.230386019,28,27,0.253323078,28,27,0.171539068,103,63,,
4.2.5.7.6.1.8.3.0.,-,16,0.307210922,232,153,0.584404945,79,55,0.677189589,79,55,0.36103487,232,153,,
1.8.5.3.0.2.7.4.6.,-,20,2.819493294,1656,1002,5.974027395,531,355,5.701754808,531,355,3.174505472,1656,1002,,
4.2.6.1.0.5.7.8.3.,-,20,4.517920256,2410,1394,7.529868603,887,579,8.351176262,887,579,5.822434902,2410,1394,,
3.2.1.4.5.7.6.8.0.,-,26,52.11369658,11526,5545,38.12902164,3519,2188,45.17572236,3517,2186,35.46218705,3559,2191,,
6.8.0.5.1.7.4.2.3.,-,26,32.34851408,8470,4333,24.54588199,2159,1390,30.26312041,2159,1390,19.50282168,2304,1469,,
2.6.4.7.0.1.5.8.3.,-,16,0.27426672,204,123,0.41190052,49,37,0.471738577,49,37,0.312165737,204,123,,
3.5.0.8.4.1.6.7.2.,-,22,2.1352911,1319,768,3.10968399,312,230,3.402409554,312,230,2.410590649,1237,738,,
8.2.6.5.0.1.3.7.4.,-,24,11.7193296,4721,2576,11.8800261,1265,848,12.89951205,1265,848,11.73263001,2161,1331,,
3.8.5.2.0.6.4.7.1.,-,22,4.794182301,2653,1516,6.787396193,798,531,7.642531157,798,531,5.244976282,2284,1314,,
1.3.8.5.0.2.4.6.7.,-,12,0.057844877,45,31,0.121673107,16,16,0.134673119,16,16,0.071807623,45,31,,
4.7.2.3.5.8.6.1.0.,-,26,35.62571812,9982,5036,28.55593944,2928,1851,32.94494033,2926,1850,24.32749653,3057,1913,,
4.1.3.2.0.5.7.8.6.,-,6,0.018949747,12,11,0.036900997,6,8,0.037898779,6,8,0.024938583,12,11,,
2.8.6.7.0.5.1.3.4.,-,22,4.994644165,2626,1465,7.913842916,777,533,8.465364456,777,533,5.870305061,2294,1292,,
5.8.1.7.0.6.3.2.4.,-,24,11.04148173,4502,2419,12.45768929,1210,797,14.36160326,1210,797,12.02887011,2161,1322,,
8.4.0.1.3.5.7.2.6.,-,20,2.14024663,1172,716,4.006287575,358,246,3.666201591,358,246,2.189146996,1172,716,,
7.1.0.6.8.5.4.3.2.,-,22,3.009968519,1724,995,5.130283117,440,299,4.815634966,440,299,3.692128181,1582,952,,
7.2.3.5.4.1.0.8.6.,-,16,0.504650831,302,198,0.834768057,92,74,0.941484928,92,74,0.545539141,302,198,,
7.1.0.2.4.8.5.6.3.,-,20,1.342410803,784,465,1.978709698,194,141,2.32777667,194,141,1.525919437,784,465,,
1.3.6.2.0.8.4.7.5.,-,10,0.065823555,33,28,0.099735022,12,11,0.084774256,12,11,0.071805239,33,28,,
6.5.8.3.0.4.1.2.7.,-,26,42.14033222,10224,4979,29.98932815,2742,1683,32.96685719,2741,1682,24.28757691,2904,1749,,
6.7.8.2.1.5.3.4.0.,-,26,19.06402779,6283,3389,15.80175185,1354,932,18.48985934,1353,930,12.8889451,1613,1065,,
1.8.3.4.2.6.7.5.0.,-,14,0.38197875,209,145,0.672204971,92,67,0.752986908,92,67,0.329119444,209,145,,
4.1.0.3.2.7.8.5.6.,-,20,1.459098577,958,559,2.778572798,297,197,2.952429295,297,197,1.669537067,958,559,,
7.5.3.8.4.6.1.2.0.,-,22,4.590735912,2416,1380,6.578402042,759,488,7.582727671,759,488,5.205594301,2054,1192,,
4.6.0.5.3.8.1.7.2.,-,20,1.731370687,1079,642,2.704768658,331,220,3.076771736,331,220,1.821130753,1079,642,,
1.5.0.8.3.4.2.6.7.,-,22,3.803831577,2129,1253,5.360665321,601,401,5.939120531,601,401,4.326435089,1957,1163,,
3.6.5.2.1.8.4.7.0.,-,14,0.087764978,68,47,0.137632608,19,14,0.143615484,19,14,0.108709574,68,47,,
2.8.0.6.1.3.4.7.5.,-,20,1.874986649,1191,729,3.169523954,382,267,3.687141895,382,267,2.096427917,1191,729,,
