problem I,problem G,sol len,lmc_time,lmc_explored,lmc_frontier,lm_time,lm_explored,lm_frontier,m_time,m_explored,m_frontier
"{'p1_at_9', 'p4_at_7', 'p2_at_0', 'elevator_hold_0', 'p5_at_3', 'p3_at_0', 'elevator_at_5'}","{'p3_at_4', 'p1_at_6', 'p4_at_9', 'p5_at_3', 'p2_at_2'}",25,6.420832395553589,326,237,,,,25.94563126564026,6730,4545
"{'elevator_at_7', 'p3_at_4', 'p5_at_9', 'p1_at_4', 'p2_at_9', 'p4_at_0', 'elevator_hold_0'}","{'p1_at_9', 'p3_at_4', 'p4_at_0', 'p5_at_5', 'p2_at_6'}",18,2.9391417503356934,222,194,34.88473677635193,9019,6327,2.4365317821502686,1110,956
"{'p1_at_9', 'p3_at_9', 'elevator_hold_0', 'p4_at_3', 'elevator_at_8', 'p5_at_4', 'p2_at_3'}","{'p3_at_2', 'p2_at_7', 'p5_at_5', 'p1_at_2', 'p4_at_3'}",21,8.35828685760498,456,595,,,,,,
"{'p2_at_5', 'p4_at_1', 'p3_at_5', 'p1_at_6', 'elevator_hold_0', 'elevator_at_2', 'p5_at_6'}","{'p5_at_7', 'p3_at_7', 'p1_at_1', 'p4_at_2', 'p2_at_6'}",22,9.783843278884888,557,686,,,,,,
"{'p5_at_8', 'p4_at_0', 'p2_at_0', 'elevator_hold_0', 'p1_at_2', 'elevator_at_6', 'p3_at_3'}","{'p1_at_0', 'p4_at_9', 'p2_at_1', 'p5_at_0', 'p3_at_3'}",27,19.34627604484558,995,816,,,,,,
"{'p4_at_0', 'elevator_hold_0', 'p1_at_2', 'p2_at_6', 'p3_at_1', 'elevator_at_5', 'p5_at_4'}","{'p1_at_9', 'p5_at_8', 'p3_at_5', 'p4_at_0', 'p2_at_3'}",22,8.815430164337158,469,471,,,,,,
"{'p1_at_0', 'elevator_at_9', 'p3_at_6', 'elevator_hold_0', 'p4_at_4', 'p5_at_6', 'p2_at_3'}","{'p1_at_7', 'p3_at_8', 'p4_at_5', 'p2_at_0', 'p5_at_0'}",27,42.1702516078949,1873,1813,,,,,,
"{'elevator_at_4', 'p3_at_2', 'p5_at_8', 'p2_at_4', 'elevator_hold_0', 'p1_at_2', 'p4_at_6'}","{'p5_at_8', 'p1_at_0', 'p4_at_1', 'p2_at_4', 'p3_at_9'}",23,17.584461450576782,922,768,,,,,,
"{'p1_at_3', 'elevator_at_9', 'p2_at_0', 'elevator_hold_0', 'p5_at_5', 'p4_at_6', 'p3_at_3'}","{'p1_at_8', 'p3_at_4', 'p5_at_9', 'p4_at_7', 'p2_at_6'}",28,39.36832118034363,1424,1564,,,,,,
"{'p3_at_4', 'elevator_at_9', 'p1_at_6', 'p2_at_0', 'elevator_hold_0', 'p5_at_3', 'p4_at_3'}","{'p1_at_9', 'p3_at_2', 'p2_at_5', 'p4_at_6', 'p5_at_6'}",28,46.3765184879303,1453,1613,,,,,,
"{'elevator_at_4', 'p5_at_7', 'p3_at_7', 'elevator_hold_0', 'p1_at_2', 'p4_at_3', 'p2_at_2'}","{'p4_at_1', 'p3_at_5', 'p1_at_1', 'p2_at_0', 'p5_at_3'}",20,4.1449174880981445,185,235,,,,28.486350536346436,5113,4296
"{'p3_at_4', 'p1_at_0', 'p2_at_7', 'elevator_at_3', 'elevator_hold_0', 'p5_at_3', 'p4_at_6'}","{'p3_at_5', 'p1_at_6', 'p2_at_4', 'p4_at_9', 'p5_at_5'}",,,,,,,,,,
"{'p1_at_9', 'elevator_at_9', 'p3_at_8', 'elevator_hold_0', 'p5_at_3', 'p4_at_6', 'p2_at_1'}","{'p5_at_2', 'p1_at_9', 'p3_at_5', 'p4_at_8', 'p2_at_6'}",23,19.722147226333618,783,740,,,,,,
"{'p1_at_7', 'p5_at_8', 'p3_at_7', 'elevator_at_3', 'elevator_hold_0', 'p4_at_4', 'p2_at_3'}","{'p5_at_2', 'p1_at_8', 'p2_at_9', 'p3_at_6', 'p4_at_9'}",23,39.79152035713196,1549,1819,,,,,,
"{'elevator_at_4', 'p2_at_3', 'p1_at_6', 'elevator_hold_0', 'p4_at_3', 'p5_at_6', 'p3_at_3'}","{'p1_at_0', 'p4_at_5', 'p3_at_3', 'p5_at_4', 'p2_at_3'}",16,3.422846555709839,157,240,17.287779569625854,4973,4225,10.26605772972107,2507,2571
"{'p1_at_0', 'p5_at_9', 'p2_at_7', 'p3_at_8', 'p4_at_8', 'elevator_hold_0', 'elevator_at_6'}","{'p3_at_2', 'p5_at_8', 'p1_at_5', 'p4_at_2', 'p2_at_1'}",27,57.87627148628235,2437,1976,,,,,,
"{'elevator_at_4', 'p1_at_9', 'p5_at_7', 'p2_at_7', 'p3_at_9', 'p4_at_5', 'elevator_hold_0'}","{'p5_at_2', 'p2_at_8', 'p1_at_0', 'p3_at_6', 'p4_at_6'}",24,7.571755409240723,306,379,,,,,,
"{'p1_at_8', 'p2_at_8', 'p3_at_2', 'p4_at_8', 'elevator_hold_0', 'p5_at_5', 'elevator_at_6'}","{'p3_at_2', 'p1_at_5', 'p2_at_9', 'p4_at_9', 'p5_at_5'}",13,0.8716721534729004,61,64,0.7489974498748779,910,844,0.8995916843414307,463,432
"{'p3_at_4', 'elevator_at_3', 'p1_at_1', 'elevator_hold_0', 'p5_at_5', 'p4_at_6', 'p2_at_1'}","{'p1_at_4', 'p2_at_4', 'p4_at_4', 'p5_at_3', 'p3_at_0'}",23,38.64602088928223,1945,2110,,,,,,
"{'p5_at_2', 'p3_at_5', 'p1_at_1', 'elevator_hold_0', 'p4_at_6', 'elevator_at_6', 'p2_at_3'}","{'p1_at_8', 'p2_at_5', 'p4_at_0', 'p3_at_6', 'p5_at_0'}",24,40.42642688751221,1430,1702,,,,,,
"{'p1_at_9', 'p3_at_8', 'elevator_at_3', 'p4_at_7', 'elevator_hold_0', 'p5_at_3', 'p2_at_1'}","{'p1_at_9', 'p3_at_4', 'p5_at_7', 'p2_at_7', 'p4_at_8'}",21,8.109340190887451,436,402,,,,24.58127784729004,4490,3653
"{'p1_at_4', 'elevator_at_0', 'p3_at_9', 'p4_at_8', 'elevator_hold_0', 'p5_at_5', 'p2_at_3'}","{'p5_at_1', 'p2_at_7', 'p4_at_1', 'p1_at_6', 'p3_at_1'}",27,27.167362689971924,928,852,,,,,,
"{'p1_at_8', 'p2_at_8', 'elevator_at_0', 'elevator_hold_0', 'p5_at_5', 'p3_at_0', 'p4_at_3'}","{'p3_at_2', 'p1_at_0', 'p2_at_5', 'p5_at_5', 'p4_at_6'}",24,15.209373712539673,525,475,,,,,,
"{'p1_at_7', 'p3_at_4', 'p5_at_7', 'p2_at_4', 'p4_at_5', 'elevator_hold_0', 'elevator_at_2'}","{'p1_at_4', 'p4_at_2', 'p5_at_5', 'p3_at_0', 'p2_at_2'}",22,7.066106081008911,278,337,,,,,,
"{'elevator_at_4', 'p5_at_1', 'p4_at_1', 'p1_at_1', 'p3_at_9', 'p2_at_0', 'elevator_hold_0'}","{'p1_at_5', 'p4_at_0', 'p3_at_6', 'p2_at_0', 'p5_at_0'}",24,12.2716965675354,522,373,,,,,,
