problem I,problem G,sol len,lmc_time,lmc_explored,lmc_frontier,lm_time,lm_explored,lm_frontier,m_time,m_explored,m_frontier
"[['p2', 'p3', 0], [0, 'p1', 0], [0, 't1', 't2']]","[[1, 0], [1, 0], [1, 2]]",14,3.7637345790863037,249,494,50.16959357261658,6730,4133,26.746891260147095,4053,3941
"[[0, 't2', 'p1'], [0, 0, 't1'], [0, 'p2', 'p3']]","[[1, 1], [0, 2], [2, 1]]",13,4.84005880355835,329,582,60.94602704048157,7097,4777,29.386876106262207,4191,4109
"[['p2', 0, 'p3'], ['p1', 0, 't1'], [0, 't2', 0]]","[[0, 1], [2, 2], [1, 1]]",17,21.25779938697815,1275,1790,,,,,,
"[['p3', 't2', 't1'], [0, 0, 0], ['p1', 0, 'p2']]","[[2, 2], [2, 0], [2, 1]]",15,7.591405630111694,586,794,,,,40.4167754650116,5226,4875
"[['t2', 'p3', 't1'], ['p1', 0, 0], ['p2', 0, 0]]","[[0, 2], [1, 1], [0, 2]]",16,16.560805797576904,1006,1592,,,,,,
"[[0, 0, 'p3'], ['t2', 0, 't1'], [0, 'p2', 'p1']]","[[0, 0], [2, 1], [2, 1]]",13,7.344359636306763,406,542,42.4350860118866,6399,4170,16.97864007949829,3136,2864
"[[0, 'p2', 't1'], ['p3', 0, 't2'], ['p1', 0, 0]]","[[0, 2], [1, 2], [1, 2]]",,,,,,,,,,
"[['t2', 0, 0], ['p3', 0, 'p1'], [0, 'p2', 't1']]","[[2, 1], [2, 0], [1, 0]]",8,0.19846773147583008,13,45,0.425861120223999,440,519,0.323136568069458,162,292
"[[0, 't1', 'p3'], [0, 0, 't2'], [0, 'p1', 'p2']]","[[1, 2], [2, 2], [2, 1]]",10,1.581770658493042,151,225,3.790864944458008,1728,1287,2.4783735275268555,778,1003
"[[0, 0, 0], ['p1', 'p2', 'p3'], ['t1', 't2', 0]]","[[1, 0], [0, 0], [1, 1]]",9,0.6522588729858398,45,126,1.4351603984832764,918,862,0.781909704208374,335,598
"[[0, 0, 'p3'], [0, 'p1', 't1'], ['t2', 'p2', 0]]","[[1, 1], [2, 0], [0, 0]]",9,0.2613098621368408,17,60,1.0392136573791504,745,781,0.4916532039642334,215,434
"[['t2', 0, 0], [0, 'p2', 'p3'], ['p1', 't1', 0]]","[[2, 2], [2, 2], [1, 2]]",11,2.994025945663452,281,461,9.257216215133667,2818,2125,4.8740012645721436,1282,1537
"[['p2', 'p3', 0], ['t2', 'p1', 0], [0, 't1', 0]]","[[2, 2], [0, 2], [1, 2]]",15,19.391154766082764,1000,1643,,,,,,
"[['p2', 0, 0], ['p1', 0, 0], ['t1', 'p3', 't2']]","[[1, 2], [0, 0], [0, 0]]",11,2.33076548576355,163,284,8.058958292007446,2655,1989,3.696120262145996,1180,1415
"[[0, 'p3', 'p1'], [0, 0, 't1'], [0, 't2', 'p2']]","[[0, 1], [1, 2], [2, 2]]",12,2.014580249786377,107,251,14.04249382019043,3125,2339,7.84897780418396,1593,1923
"[[0, 'p3', 'p1'], [0, 'p2', 't2'], [0, 't1', 0]]","[[1, 2], [2, 0], [0, 0]]",14,8.26448130607605,501,964,,,,,,
"[[0, 'p1', 't2'], ['p2', 'p3', 't1'], [0, 0, 0]]","[[2, 1], [2, 0], [0, 0]]",14,8.490796089172363,471,939,,,,,,
"[['p1', 0, 'p3'], [0, 0, 't1'], ['t2', 0, 'p2']]","[[1, 1], [2, 2], [0, 2]]",6,0.18650078773498535,20,47,0.05685067176818848,133,139,0.04787182807922363,35,62
"[[0, 0, 'p1'], ['p3', 't2', 't1'], [0, 'p2', 0]]","[[1, 0], [2, 2], [0, 2]]",15,15.489215850830078,929,1324,,,,,,
"[[0, 'p3', 0], [0, 't2', 'p1'], [0, 't1', 'p2']]","[[1, 2], [2, 0], [2, 0]]",11,2.2589590549468994,134,297,10.241134643554688,2830,2190,5.963477849960327,1182,1679
"[[0, 'p2', 0], ['t2', 0, 0], ['p3', 'p1', 't1']]","[[0, 1], [1, 2], [1, 1]]",14,4.692453145980835,286,583,70.71587014198303,7719,5005,35.739957332611084,4656,4847
"[['p3', 't1', 0], ['t2', 0, 0], [0, 'p2', 'p1']]","[[2, 1], [2, 2], [0, 0]]",8,0.43480587005615234,41,97,0.3510611057281494,389,412,0.24936652183532715,155,220
"[['t1', 0, 0], ['t2', 0, 'p3'], ['p2', 0, 'p1']]","[[2, 1], [0, 0], [1, 0]]",17,17.609893321990967,1044,1542,,,,,,
"[[0, 't1', 0], [0, 'p1', 'p3'], ['p2', 't2', 0]]","[[2, 2], [1, 2], [1, 1]]",13,6.544983625411987,370,764,,,,50.600210666656494,5472,5388
"[[0, 0, 'p3'], ['p1', 'p2', 't2'], [0, 0, 't1']]","[[1, 1], [2, 1], [2, 0]]",14,8.718688488006592,491,962,,,,54.77276015281677,5948,5228
