problem I,problem G,sol len,lmc_time,lmc_explored,lmc_frontier,lm_time,lm_explored,lm_frontier,m_time,m_explored,m_frontier
"[[1, 1, 1, 3, 1, 1], [1, 1, 1, 1, 2, 2], [1, 1, 1, 1, 1, 1], [2, 2, 1, 1, 1, 1], [1, 0, 2, 1, 1, 0], [1, 1, 1, 2, 2, 2]]",-,24,0.8916223049163818,87,67,2.1761772632598877,1854,1246,3.5295610427856445,2323,939
"[[1, 1, 1, 2, 2, 1], [1, 2, 1, 1, 1, 1], [0, 1, 1, 1, 1, 3], [1, 1, 2, 1, 1, 2], [1, 1, 2, 0, 1, 1], [1, 1, 2, 1, 2, 1]]",-,23,0.4617655277252197,33,53,1.685492992401123,1828,1103,3.904561996459961,2430,1047
"[[2, 1, 1, 1, 2, 1], [1, 1, 0, 1, 1, 0], [1, 1, 1, 2, 1, 1], [2, 3, 2, 0, 0, 1], [1, 1, 1, 1, 1, 1], [2, 2, 2, 0, 2, 1]]",-,30,5.813490152359009,435,319,16.787062644958496,11145,1184,17.676085710525513,9544,1387
"[[2, 1, 3, 1, 1, 0], [1, 1, 1, 1, 1, 2], [2, 1, 0, 0, 1, 1], [2, 1, 2, 1, 1, 2], [0, 2, 1, 2, 1, 1], [2, 1, 1, 2, 1, 1]]",-,30,2.093395948410034,140,142,40.79290175437927,11322,4476,60.13766360282898,15544,3902
"[[1, 1, 0, 1, 2, 1], [1, 1, 2, 1, 1, 1], [1, 3, 1, 1, 1, 2], [1, 1, 1, 2, 1, 1], [1, 1, 2, 2, 2, 2], [1, 2, 1, 2, 1, 2]]",-,32,42.45173144340515,2270,2416,,,,,,
"[[2, 1, 1, 1, 3, 2], [1, 1, 0, 2, 1, 1], [0, 1, 1, 1, 1, 2], [1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1], [1, 1, 1, 2, 1, 1]]",-,23,2.3487343788146973,217,87,0.4894394874572754,792,52,0.8184406757354736,574,113
"[[1, 0, 3, 1, 1, 1], [2, 1, 1, 1, 0, 1], [2, 0, 2, 1, 1, 1], [1, 1, 1, 0, 1, 1], [2, 1, 2, 1, 1, 1], [1, 2, 1, 1, 1, 2]]",-,23,1.5408790111541748,135,111,1.6471030712127686,2259,351,1.9687368869781494,1494,416
"[[0, 1, 1, 2, 1, 1], [1, 1, 1, 2, 1, 1], [1, 1, 0, 1, 1, 1], [2, 1, 1, 1, 1, 1], [2, 1, 2, 1, 1, 2], [1, 1, 3, 2, 1, 1]]",-,23,3.301274061203003,195,196,2.1747446060180664,2047,523,2.8459668159484863,1787,560
"[[0, 2, 0, 1, 0, 1], [3, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 2, 1, 1]]",-,11,0.16156959533691406,22,15,0.023965835571289062,61,10,0.03490948677062988,37,16
"[[0, 1, 1, 1, 0, 1], [1, 1, 2, 1, 2, 1], [2, 2, 1, 2, 0, 2], [2, 0, 1, 2, 1, 2], [2, 1, 1, 1, 1, 1], [3, 1, 2, 1, 1, 1]]",-,29,8.175434589385986,462,568,,,,,,
"[[1, 2, 1, 2, 1, 0], [1, 2, 2, 1, 1, 1], [3, 1, 1, 1, 2, 1], [1, 1, 1, 1, 0, 1], [1, 0, 1, 0, 0, 0], [1, 0, 1, 2, 2, 1]]",-,24,2.275413751602173,247,180,0.909569263458252,1387,352,1.2487528324127197,1231,300
"[[1, 1, 1, 1, 1, 1], [1, 1, 1, 2, 1, 2], [1, 1, 1, 1, 1, 1], [1, 0, 0, 2, 1, 1], [0, 1, 2, 1, 1, 1], [1, 1, 1, 3, 1, 1]]",-,12,0.16359639167785645,14,29,0.04687333106994629,113,76,0.06782078742980957,62,61
"[[1, 1, 2, 1, 1, 1], [1, 1, 1, 0, 1, 2], [2, 1, 2, 0, 1, 2], [1, 2, 1, 0, 0, 2], [1, 1, 0, 1, 3, 2], [1, 1, 1, 1, 1, 1]]",-,22,0.36599016189575195,35,43,1.0502240657806396,1138,801,0.8257603645324707,692,332
"[[1, 1, 2, 1, 1, 1], [1, 2, 2, 2, 1, 1], [1, 3, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1], [1, 1, 0, 2, 0, 1], [1, 1, 1, 1, 0, 1]]",-,13,0.3131885528564453,29,53,0.14960718154907227,306,109,0.24135637283325195,221,134
"[[1, 1, 1, 1, 1, 0], [2, 1, 2, 2, 1, 0], [2, 1, 1, 1, 1, 2], [2, 1, 1, 1, 1, 2], [2, 1, 1, 1, 1, 1], [0, 1, 1, 0, 2, 3]]",-,23,0.39191770553588867,27,44,2.974080801010132,1679,1804,10.449893474578857,3534,2282
"[[2, 1, 2, 1, 1, 2], [1, 2, 1, 2, 1, 2], [1, 1, 1, 1, 1, 2], [1, 0, 0, 1, 2, 1], [2, 1, 3, 1, 1, 1], [1, 1, 1, 1, 0, 1]]",-,28,4.467289209365845,347,353,40.01045560836792,10999,2876,27.342336893081665,8804,2492
