problem I,problem G,sol len,lmc_time,lmc_explored,lmc_frontier,lm_time,lm_explored,lm_frontier,m_time,m_explored,m_frontier
"[['E', 'G', 'C'], ['B', 'A', 'F', 'D']]","[['F', 'G', 'C', 'D', 'A', 'E', 'B']]",9,1.6598570346832275,49,224,41.84867262840271,2831,6738,71.9600989818573,3235,7215
"[['D'], ['C', 'F', 'E', 'A', 'B', 'G']]","[['D', 'B', 'C', 'E', 'A', 'F', 'G']]",10,3.4757072925567627,145,645,87.05494403839111,4925,8579,,,
"[['F', 'C', 'A', 'D', 'B', 'G'], ['E']]","[['C', 'G', 'E', 'B', 'D', 'F', 'A']]",11,6.009965658187866,164,995,,,,,,
"[['E', 'F'], ['B', 'C', 'A', 'G', 'D']]","[['D', 'C', 'A', 'E', 'B', 'F', 'G']]",10,5.57509446144104,183,832,,,,,,
"[['B', 'G', 'A'], ['C', 'E', 'D', 'F']]","[['C', 'E', 'F', 'B', 'A', 'G', 'D']]",9,2.950174331665039,158,548,31.413330554962158,2486,6225,62.34485483169556,2796,6979
"[['E', 'A', 'G', 'F'], ['C', 'B', 'D']]","[['F', 'G', 'B', 'C', 'D', 'A', 'E']]",8,0.2552802562713623,9,40,5.2619309425354,731,2813,21.885030269622803,1300,4530
"[['D', 'B', 'A', 'C'], ['F', 'G', 'E']]","[['F', 'E', 'B', 'A', 'G', 'C', 'D']]",10,6.149556636810303,258,1024,,,,,,
"[['B', 'G', 'A'], ['C', 'F', 'E', 'D']]","[['A', 'F', 'G', 'D', 'C', 'E', 'B']]",9,1.2366931438446045,29,174,44.186070919036865,2695,6778,,,
"[['B'], ['D', 'E', 'F', 'A', 'G', 'C']]","[['F', 'D', 'B', 'E', 'G', 'A', 'C']]",11,8.575070142745972,304,1308,,,,,,
"[['E', 'B', 'C', 'D', 'A'], ['F', 'G']]","[['C', 'D', 'F', 'B', 'G', 'E', 'A']]",10,2.3207895755767822,86,438,,,,,,
"[['G', 'C', 'E', 'F', 'B'], ['D', 'A']]","[['E', 'C', 'G', 'A', 'D', 'F', 'B']]",9,0.702124834060669,32,142,27.61018180847168,1945,5676,67.12699913978577,2933,7025
"[['E', 'G'], ['A', 'F', 'B', 'D', 'C']]","[['G', 'B', 'D', 'C', 'A', 'E', 'F']]",10,1.6246540546417236,72,358,,,,,,
"[['A'], ['G', 'E', 'B', 'C', 'D', 'F']]","[['E', 'G', 'C', 'A', 'B', 'F', 'D']]",11,3.599379539489746,120,655,,,,,,
"[['E', 'A', 'G', 'C', 'F'], ['B', 'D']]","[['E', 'D', 'A', 'G', 'B', 'C', 'F']]",10,5.7536139488220215,209,980,,,,,,
"[['C', 'G', 'A', 'B', 'F', 'E'], ['D']]","[['E', 'B', 'A', 'D', 'C', 'G', 'F']]",9,0.9963059425354004,39,189,15.842787504196167,1416,4309,44.197938442230225,1926,5762
"[['B', 'A', 'F', 'G'], ['C', 'D', 'E']]","[['B', 'D', 'E', 'G', 'A', 'C', 'F']]",10,8.200085163116455,305,1212,,,,,,
"[['E', 'A', 'B'], ['D', 'F', 'G', 'C']]","[['B', 'G', 'E', 'C', 'F', 'D', 'A']]",9,1.0262236595153809,35,194,23.947239637374878,1933,5358,65.97418260574341,2833,7016
"[['B', 'C', 'A'], ['E', 'D', 'G', 'F']]","[['D', 'G', 'F', 'B', 'C', 'A', 'E']]",11,13.608577966690063,487,1907,,,,,,
"[['E', 'F', 'B'], ['A', 'D', 'G', 'C']]","[['E', 'C', 'B', 'A', 'F', 'G', 'D']]",10,7.236651182174683,229,1017,,,,,,
"[['C'], ['F', 'E', 'A', 'D', 'B', 'G']]","[['E', 'A', 'G', 'D', 'F', 'C', 'B']]",11,6.6892409324646,205,1063,,,,,,
"[['A', 'G', 'E', 'C'], ['B', 'D', 'F']]","[['C', 'F', 'G', 'D', 'A', 'B', 'E']]",8,0.3590214252471924,17,81,3.447751522064209,487,2241,21.46835231781006,1172,4440
"[['G', 'E', 'B'], ['A', 'D', 'C', 'F']]","[['A', 'E', 'C', 'G', 'F', 'B', 'D']]",10,7.3433997631073,260,1074,,,,,,
"[['E', 'G', 'D', 'C'], ['B', 'F', 'A']]","[['E', 'A', 'C', 'D', 'G', 'B', 'F']]",10,6.705064535140991,270,1072,,,,,,
"[['E', 'A', 'B'], ['C', 'G', 'F', 'D']]","[['D', 'F', 'B', 'E', 'C', 'A', 'G']]",9,1.6296753883361816,71,312,44.81212091445923,2648,6435,71.59091401100159,3022,7155
"[['C', 'G', 'B', 'E', 'F'], ['A', 'D']]","[['B', 'D', 'E', 'G', 'A', 'F', 'C']]",9,0.48669910430908203,20,91,35.66038274765015,2292,6470,66.84532833099365,2654,7210
