problem I,problem G,sol len,lmc_time,lmc_explored,lmc_frontier,lm_time,lm_explored,lm_frontier,m_time,m_explored,m_frontier
2.4.5.6.0.3.8.1.7.,-,24,19.866494178771973,2262,1441,,,,,,
0.4.1.7.2.5.8.3.6.,-,16,0.5405550003051758,80,66,0.9195427894592285,1703,1050,1.8630216121673584,1202,960
4.3.5.2.6.8.7.1.0.,-,14,0.18450403213500977,27,24,0.2204444408416748,703,438,0.610368013381958,470,362
4.3.8.1.5.7.6.2.0.,-,22,4.608699321746826,492,339,,,,,,
1.5.2.4.3.6.7.8.0.,-,6,0.03091907501220703,7,7,0.0019927024841308594,13,13,0.008977413177490234,10,10
2.5.1.4.0.8.6.7.3.,-,22,6.896553039550781,865,591,,,,,,
0.1.8.2.6.3.5.4.7.,-,18,0.961463451385498,133,90,5.6745054721832275,4671,2798,7.346835613250732,3202,2526
6.4.2.1.0.8.3.5.7.,-,20,2.0495200157165527,188,132,49.95839786529541,14058,7326,34.35496950149536,8950,6432
1.4.6.7.3.2.0.8.5.,-,20,4.554790258407593,638,440,39.68723511695862,12693,6768,28.794416427612305,8157,5879
7.1.2.6.0.3.5.4.8.,-,12,0.08876514434814453,14,14,0.05485105514526367,254,167,0.2732384204864502,255,209
5.1.2.4.7.3.8.6.0.,-,14,0.46573734283447266,40,35,0.2353682518005371,668,420,0.5814480781555176,508,407
1.2.0.4.8.6.3.7.5.,-,20,3.4477813243865967,513,338,18.270443439483643,8471,4841,25.61756467819214,7564,5586
0.7.2.8.1.6.5.4.3.,-,22,6.470787763595581,845,553,,,,,,
4.3.7.2.0.8.1.6.5.,-,20,2.24597430229187,237,164,46.294469118118286,14226,7462,33.505324840545654,9230,6521
2.3.8.6.0.1.4.5.7.,-,20,2.587118148803711,330,211,44.034525632858276,14197,7340,35.44330358505249,9303,6568
1.2.3.8.6.7.0.4.5.,-,12,0.19447755813598633,32,26,0.06981420516967773,288,194,0.2044529914855957,183,158
0.5.2.7.4.6.3.1.8.,-,18,1.003288745880127,127,90,5.726542711257935,4527,2631,5.463390350341797,2868,2204
3.5.0.1.7.6.2.4.8.,-,16,0.3809232711791992,54,42,0.968376636505127,1718,1055,1.98459792137146,1258,995
1.5.3.6.0.8.4.2.7.,-,18,2.113557815551758,272,178,7.298488140106201,5139,3097,9.924497604370117,4291,3222
1.8.5.7.4.2.0.6.3.,-,12,0.154587984085083,14,13,0.0777585506439209,224,149,0.23841094970703125,184,159
1.5.2.4.0.6.3.8.7.,-,16,0.6954808235168457,100,70,1.1320066452026367,1919,1178,2.2150468826293945,1468,1169
4.7.0.2.5.3.1.6.8.,-,22,6.272217512130737,743,515,,,,,,
5.3.0.2.4.8.6.1.7.,-,18,0.4537525177001953,58,46,4.832113027572632,4428,2661,6.224359512329102,3120,2413
8.1.6.2.0.3.4.7.5.,-,18,1.7245264053344727,235,157,9.122778415679932,5893,3456,9.205857515335083,3969,3030
5.8.1.4.2.6.7.3.0.,-,22,7.23637843132019,946,609,,,,,,
